"org_key","parent_key","desc1","desc2","city","state","status"
"AYSOR1280","AYSOA05G","AYSO Region 1280","A05G-R1280 Allardt, TN","Allardt","TN",
"AYSOR1400","AYSOA05G","AYSO Region 1400","A05G-R1400 Dayton, TN","Dayton","TN",
"AYSOR1561","AYSOA05G","AYSO Region 1561","A05G-R1561 Polk County, TN","Polk County","TN",
,,,,,,
"AYSOR0297","AYSOA05H","AYSO Region 0297","A05H-R0297 Montgomery, AL","Montgomery","AL",
"AYSOR0552","AYSOA05H","AYSO Region 0552","A05H-R0552 Morgan County, LA","Morgan County","LA",
"AYSOR1136","AYSOA05H","AYSO Region 1136","A05H-R1136 Gulf Breeze, FL","Gulf Breeze","FL",
"AYSOR1382","AYSOA05H","AYSO Region 1382","A05H-R1382 Angie, LA","Angie","LA",
"AYSOR1459","AYSOA05H","AYSO Region 1459","A05H-R1459 Vernon, LA","Vernon","LA",
"AYSOR1571","AYSOA05H","AYSO Region 1571","A05H-R1571 Milton, FL","Milton","FL",
"AYSOR1586","AYSOA05H","AYSO Region 1586","A05H-R1586 Tallassee, AL","Tallassee","AL",
,,,,,,
"AYSOR9695","AYSOA90C","AYSO Region 9695","A90C-R9695 NSTC, CA","NSTC","CA",
,,,,,,
"AYSOR0006","AYSOA01F","AYSO Region 0006","A01F-R0006 San Pedro, CA","San Pedro","CA",
"AYSOR0014","AYSOA01F","AYSO Region 0014","A01F-R0014 Torrance, CA","Torrance","CA",
,,,,,,
"AYSOR0032","AYSOA01G","AYSO Region 0032","A01G-R0032 San Dimas, CA","San Dimas","CA",
"AYSOR0020","AYSOA01P","AYSO Region 0020","A01P-R0020 Los Angeles, CA","Los Angeles","CA",
"AYSOR0112","AYSOA01U","AYSO Region 0112","A01U-R0112 San Dimas, CA","San Dimas","CA",
,,,,,,
,,,,,,
"AYSOR0026","AYSOA02A","AYSO Region 0026","A02A-R0026 Palo Alto, CA","Palo Alto","CA",
"AYSOR0044","AYSOA02A","AYSO Region 0044","A02A-R0044 Cupertino, CA","Cupertino","CA",
,,,,,,
"AYSOR0064","AYSOA02J","AYSO Region 0064","A02J-R0064 Sunnyvale, CA","Sunnyvale","CA",
,,,,,,
"AYSOR0107","AYSOA02N","AYSO Region 0107","A02N-R0107 Stanford, CA","Stanford","CA",
,,,,,,
"AYSOR0611","AYSOA03A","AYSO Region 0611","A03A-R0611 New York, NY","New York","NY",
,,,,,,
,,,,,,
"AYSOR0163","AYSOA06A","AYSO Region 0163","A06A-R0163 Lake Bluff, IL","Lake Bluff","IL",
"AYSOR0362","AYSOA06D","AYSO Region 0362","A06D-R0362 Wheeling, IL","Wheeling","IL",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"AYSOR0190","AYSOA08C","AYSO Region 0190","A08C-R0190 Shelby Township, MI","Shelby Township","MI",
"AYSOR0881","AYSOA08H","AYSO Region 0881","A08H-R0881 Traverse City, MI","Traverse City","MI",
,,,,,,
"AYSOR0008","AYSOA10V","AYSO Region 0008","A10V-R0008 Granada Hills, CA","Granada Hills","CA",
